HW;11×;2.29%;" "
TX;10×;2.08%;" "
JH;9×;1.87%;" "
WT;8×;1.66%;" "
TH;8×;1.66%;" "
XF;8×;1.66%;" "
SF;7×;1.46%;" "
XD;7×;1.46%;" "
QS;7×;1.46%;" "
WS;7×;1.46%;" "
RZ;7×;1.46%;" "
QH;7×;1.46%;" "
JW;6×;1.25%;" "
XC;6×;1.25%;" "
SX;6×;1.25%;" "
ZS;6×;1.25%;" "
KS;5×;1.04%;" "
RQ;5×;1.04%;" "
RO;5×;1.04%;" "
HT;5×;1.04%;" "
HR;5×;1.04%;" "
SJ;5×;1.04%;" "
RX;5×;1.04%;" "
HV;5×;1.04%;" "
FQ;5×;1.04%;" "
RH;4×;0.83%;" "
SQ;4×;0.83%;" "
WO;4×;0.83%;" "
XH;4×;0.83%;" "
JJ;4×;0.83%;" "
WQ;4×;0.83%;" "
KW;3×;0.62%;" "
ZR;3×;0.62%;" "
NN;3×;0.62%;" "
XT;3×;0.62%;" "
VF;3×;0.62%;" "
FJ;3×;0.62%;" "
HK;3×;0.62%;" "
FT;3×;0.62%;" "
SC;3×;0.62%;" "
VT;3×;0.62%;" "
WH;3×;0.62%;" "
TQ;3×;0.62%;" "
FH;3×;0.62%;" "
BS;3×;0.62%;" "
JY;3×;0.62%;" "
QT;3×;0.62%;" "
SH;3×;0.62%;" "
FR;3×;0.62%;" "
ES;3×;0.62%;" "
HJ;3×;0.62%;" "
FS;3×;0.62%;" "
NS;3×;0.62%;" "
VS;3×;0.62%;" "
SV;3×;0.62%;" "
JR;3×;0.62%;" "
CR;3×;0.62%;" "
RK;3×;0.62%;" "
QJ;2×;0.42%;" "
HE;2×;0.42%;" "
XR;2×;0.42%;" "
OY;2×;0.42%;" "
SN;2×;0.42%;" "
SM;2×;0.42%;" "
TV;2×;0.42%;" "
FW;2×;0.42%;" "
TC;2×;0.42%;" "
JO;2×;0.42%;" "
FK;2×;0.42%;" "
JE;2×;0.42%;" "
JX;2×;0.42%;" "
IJ;2×;0.42%;" "
YT;2×;0.42%;" "
XK;2×;0.42%;" "
RY;2×;0.42%;" "
DH;2×;0.42%;" "
TY;2×;0.42%;" "
QM;2×;0.42%;" "
RF;2×;0.42%;" "
JC;2×;0.42%;" "
IS;2×;0.42%;" "
RC;2×;0.42%;" "
GT;2×;0.42%;" "
DV;2×;0.42%;" "
OV;2×;0.42%;" "
DQ;2×;0.42%;" "
XS;2×;0.42%;" "
YJ;2×;0.42%;" "
JS;2×;0.42%;" "
QI;2×;0.42%;" "
HH;2×;0.42%;" "
ZW;2×;0.42%;" "
OX;2×;0.42%;" "
JT;2×;0.42%;" "
VI;2×;0.42%;" "
ZH;2×;0.42%;" "
EK;2×;0.42%;" "
TD;2×;0.42%;" "
QR;2×;0.42%;" "
XG;2×;0.42%;" "
VJ;2×;0.42%;" "
VN;2×;0.42%;" "
IK;2×;0.42%;" "
MV;2×;0.42%;" "
XM;2×;0.42%;" "
NV;2×;0.42%;" "
WR;2×;0.42%;" "
CV;2×;0.42%;" "
DR;2×;0.42%;" "
FO;2×;0.42%;" "
RW;1×;0.21%;" "
MX;1×;0.21%;" "
HC;1×;0.21%;" "
HO;1×;0.21%;" "
HI;1×;0.21%;" "
IR;1×;0.21%;" "
WY;1×;0.21%;" "
JG;1×;0.21%;" "
YL;1×;0.21%;" "
OT;1×;0.21%;" "
VR;1×;0.21%;" "
ZF;1×;0.21%;" "
CT;1×;0.21%;" "
WN;1×;0.21%;" "
VX;1×;0.21%;" "
XQ;1×;0.21%;" "
WK;1×;0.21%;" "
KR;1×;0.21%;" "
YC;1×;0.21%;" "
PR;1×;0.21%;" "
IF;1×;0.21%;" "
SD;1×;0.21%;" "
TN;1×;0.21%;" "
CI;1×;0.21%;" "
KX;1×;0.21%;" "
ZK;1×;0.21%;" "
XO;1×;0.21%;" "
WV;1×;0.21%;" "
OC;1×;0.21%;" "
XZ;1×;0.21%;" "
VO;1×;0.21%;" "
RJ;1×;0.21%;" "
GS;1×;0.21%;" "
TJ;1×;0.21%;" "
AC;1×;0.21%;" "
ZJ;1×;0.21%;" "
NC;1×;0.21%;" "
GW;1×;0.21%;" "
IT;1×;0.21%;" "
JQ;1×;0.21%;" "
YS;1×;0.21%;" "
QG;1×;0.21%;" "
WM;1×;0.21%;" "
FI;1×;0.21%;" "
SY;1×;0.21%;" "
YE;1×;0.21%;" "
FF;1×;0.21%;" "
YR;1×;0.21%;" "
HY;1×;0.21%;" "
KT;1×;0.21%;" "
RM;1×;0.21%;" "
XI;1×;0.21%;" "
HZ;1×;0.21%;" "
ON;1×;0.21%;" "
NR;1×;0.21%;" "
CJ;1×;0.21%;" "
EZ;1×;0.21%;" "
JB;1×;0.21%;" "
NQ;1×;0.21%;" "
QN;1×;0.21%;" "
IW;1×;0.21%;" "
DC;1×;0.21%;" "
CW;1×;0.21%;" "
XV;1×;0.21%;" "
IH;1×;0.21%;" "
NT;1×;0.21%;" "
HN;1×;0.21%;" "
XJ;1×;0.21%;" "
WJ;1×;0.21%;" "
JV;1×;0.21%;" "
ZC;1×;0.21%;" "
II;1×;0.21%;" "
VV;1×;0.21%;" "
XE;1×;0.21%;" "
OS;1×;0.21%;" "
CG;1×;0.21%;" "
JM;1×;0.21%;" "
YY;1×;0.21%;" "
SZ;1×;0.21%;" "
IC;1×;0.21%;" "
OQ;1×;0.21%;" "
RR;1×;0.21%;" "
CH;1×;0.21%;" "
VW;1×;0.21%;" "
GK;1×;0.21%;" "
FM;1×;0.21%;" "
GB;1×;0.21%;" "
VB;1×;0.21%;" "
HQ;1×;0.21%;" "
TM;1×;0.21%;" "
MR;1×;0.21%;" "
MM;1×;0.21%;" "
WD;1×;0.21%;" "
KQ;1×;0.21%;" "
DW;1×;0.21%;" "
FD;1×;0.21%;" "
WZ;1×;0.21%;" "
QZ;1×;0.21%;" "
RB;1×;0.21%;" "
QY;1×;0.21%;" "
WW;1×;0.21%;" "
YN;1×;0.21%;" "
MO;1×;0.21%;" "
HP;1×;0.21%;" "
RV;1×;0.21%;" "
EY;1×;0.21%;" "
ZN;1×;0.21%;" "
