Frequency (Hz)	Level (dB)
21.533203	-44.883068
43.066406	-40.456768
64.599609	-37.801060
86.132812	-43.048874
107.666016	-41.351551
129.199219	-31.971937
150.732422	-32.017601
172.265625	-41.638168
193.798828	-39.729969
215.332031	-38.640877
236.865234	-34.197563
258.398438	-30.291519
279.931641	-30.046682
301.464844	-34.070946
322.998047	-34.078075
344.531250	-31.420664
366.064453	-31.444635
387.597656	-36.163067
409.130859	-40.868568
430.664062	-43.409969
452.197266	-47.714966
473.730469	-47.558933
495.263672	-47.310471
516.796875	-46.899582
538.330078	-44.112926
559.863281	-42.098045
581.396484	-46.076977
602.929688	-49.986027
624.462891	-48.280918
645.996094	-49.257053
667.529297	-49.444729
689.062500	-44.593731
710.595703	-41.428177
732.128906	-44.786716
753.662109	-52.455868
775.195312	-55.614895
796.728516	-56.223133
818.261719	-49.970444
839.794922	-45.740108
861.328125	-47.507893
882.861328	-52.932396
904.394531	-56.613407
925.927734	-56.543034
947.460938	-56.704662
968.994141	-51.741562
990.527344	-48.742996
1012.060547	-49.253803
1033.593750	-49.387981
1055.126953	-50.907425
1076.660156	-52.362724
1098.193359	-50.613625
1119.726562	-47.211636
1141.259766	-45.728249
1162.792969	-48.506771
1184.326172	-53.940437
1205.859375	-55.358582
1227.392578	-55.277653
1248.925781	-53.812458
1270.458984	-56.430634
1291.992188	-59.284252
1313.525391	-58.120773
1335.058594	-58.448605
1356.591797	-59.988518
1378.125000	-62.005291
1399.658203	-60.147873
1421.191406	-58.309151
1442.724609	-57.441467
1464.257812	-55.292122
1485.791016	-54.766247
1507.324219	-51.080875
1528.857422	-48.316704
1550.390625	-49.148365
1571.923828	-51.383053
1593.457031	-52.560448
1614.990234	-49.756657
1636.523438	-48.551136
1658.056641	-48.826530
1679.589844	-50.103836
1701.123047	-51.527161
1722.656250	-54.109669
1744.189453	-57.007797
1765.722656	-59.734966
1787.255859	-58.418987
1808.789062	-55.175720
1830.322266	-52.137745
1851.855469	-53.644600
1873.388672	-53.484299
1894.921875	-51.613422
1916.455078	-53.476414
1937.988281	-58.014057
1959.521484	-53.702091
1981.054688	-51.808201
2002.587891	-57.645428
2024.121094	-62.431103
2045.654297	-61.736027
2067.187500	-61.036434
2088.720703	-58.927055
2110.253906	-55.247883
2131.787109	-54.634068
2153.320312	-55.394131
2174.853516	-55.776161
2196.386719	-55.096657
2217.919922	-55.566570
2239.453125	-54.549282
2260.986328	-53.285652
2282.519531	-52.397636
2304.052734	-52.719437
2325.585938	-53.534798
2347.119141	-55.082279
2368.652344	-57.368786
2390.185547	-57.857697
2411.718750	-56.499607
2433.251953	-53.147675
2454.785156	-39.450043
2476.318359	-22.324871
2497.851562	-20.753845
2519.384766	-32.137535
2540.917969	-50.962105
2562.451172	-57.325436
2583.984375	-56.435165
2605.517578	-54.622643
2627.050781	-54.286640
2648.583984	-53.562378
2670.117188	-51.807640
2691.650391	-50.518982
2713.183594	-51.839649
2734.716797	-54.132915
2756.250000	-56.058361
2777.783203	-57.486233
2799.316406	-58.166935
2820.849609	-59.355026
2842.382812	-59.962219
2863.916016	-58.503925
2885.449219	-57.870247
2906.982422	-54.355560
2928.515625	-51.345806
2950.048828	-51.498322
2971.582031	-53.818523
2993.115234	-55.660065
3014.648438	-58.083176
3036.181641	-59.171360
3057.714844	-60.422623
3079.248047	-59.146580
3100.781250	-58.711948
3122.314453	-60.416500
3143.847656	-61.987854
3165.380859	-63.324512
3186.914062	-63.060696
3208.447266	-61.432140
3229.980469	-60.288105
3251.513672	-60.294281
3273.046875	-62.355930
3294.580078	-64.711006
3316.113281	-63.770515
3337.646484	-62.345604
3359.179688	-60.134327
3380.712891	-59.907433
3402.246094	-60.248013
3423.779297	-61.074215
3445.312500	-62.745403
3466.845703	-65.537582
3488.378906	-68.481155
3509.912109	-70.522720
3531.445312	-71.068634
3552.978516	-68.485359
3574.511719	-66.522491
3596.044922	-65.920151
3617.578125	-65.791130
3639.111328	-62.176933
3660.644531	-61.510639
3682.177734	-63.956669
3703.710938	-65.509972
3725.244141	-66.394043
3746.777344	-65.568855
3768.310547	-61.487911
3789.843750	-62.010662
3811.376953	-63.044403
3832.910156	-62.249039
3854.443359	-62.546307
3875.976562	-62.389645
3897.509766	-62.169502
3919.042969	-62.028263
3940.576172	-61.378448
3962.109375	-60.581825
3983.642578	-59.638245
4005.175781	-62.636448
4026.708984	-66.146416
4048.242188	-66.963882
4069.775391	-65.230026
4091.308594	-61.630390
4112.841797	-59.796848
4134.375000	-60.982914
4155.908203	-63.530815
4177.441406	-62.916538
4198.974609	-62.420578
4220.507812	-61.623425
4242.041016	-62.656731
4263.574219	-64.340912
4285.107422	-66.049652
4306.640625	-65.505814
4328.173828	-64.589867
4349.707031	-65.864647
4371.240234	-67.924271
4392.773438	-68.741348
4414.306641	-69.379601
4435.839844	-69.547302
4457.373047	-69.689034
4478.906250	-71.434692
4500.439453	-71.766586
4521.972656	-72.134804
4543.505859	-73.757843
4565.039062	-73.562347
4586.572266	-75.053932
4608.105469	-76.556198
4629.638672	-78.091972
4651.171875	-79.270370
4672.705078	-78.433052
4694.238281	-78.159172
4715.771484	-77.776657
4737.304688	-77.885857
4758.837891	-76.806244
4780.371094	-75.640945
4801.904297	-76.987755
4823.437500	-81.113327
4844.970703	-84.702728
4866.503906	-84.677605
4888.037109	-82.066521
4909.570312	-81.782028
4931.103516	-81.766167
4952.636719	-82.179947
4974.169922	-83.686234
4995.703125	-84.284576
5017.236328	-83.885376
5038.769531	-85.710800
5060.302734	-83.141808
5081.835938	-83.843727
5103.369141	-84.202957
5124.902344	-83.893089
5146.435547	-84.966225
5167.968750	-86.846764
5189.501953	-86.215431
5211.035156	-86.626305
5232.568359	-88.088539
5254.101562	-88.773849
5275.634766	-88.059296
5297.167969	-87.868317
5318.701172	-87.184227
5340.234375	-84.791534
5361.767578	-82.791420
5383.300781	-83.637161
5404.833984	-86.313957
5426.367188	-88.906815
5447.900391	-92.387901
5469.433594	-92.853439
5490.966797	-91.246918
5512.500000	-89.072914
5534.033203	-89.214645
5555.566406	-89.763245
5577.099609	-88.954216
5598.632812	-90.465164
5620.166016	-89.930405
5641.699219	-88.460594
5663.232422	-89.748337
5684.765625	-91.361328
5706.298828	-92.675392
5727.832031	-93.814629
5749.365234	-93.051872
5770.898438	-93.528236
5792.431641	-93.415367
5813.964844	-92.827888
5835.498047	-92.588852
5857.031250	-92.845039
5878.564453	-91.911087
5900.097656	-90.729446
5921.630859	-90.978889
5943.164062	-90.142670
5964.697266	-89.695709
5986.230469	-92.508598
6007.763672	-94.759087
6029.296875	-93.237823
6050.830078	-93.976967
6072.363281	-94.491028
6093.896484	-92.755875
6115.429688	-92.231369
6136.962891	-91.229378
6158.496094	-91.418991
6180.029297	-91.454933
6201.562500	-94.599113
6223.095703	-97.145370
6244.628906	-97.098976
6266.162109	-96.959854
6287.695312	-97.432175
6309.228516	-97.606194
6330.761719	-96.840645
6352.294922	-96.942459
6373.828125	-97.315628
6395.361328	-96.259453
6416.894531	-95.032333
6438.427734	-94.096054
6459.960938	-94.200218
6481.494141	-94.656197
6503.027344	-96.155952
6524.560547	-97.718414
6546.093750	-97.492760
6567.626953	-97.135429
6589.160156	-98.615150
6610.693359	-98.760338
6632.226562	-97.955544
6653.759766	-98.265411
6675.292969	-98.527077
6696.826172	-98.819412
6718.359375	-97.320953
6739.892578	-96.369255
6761.425781	-98.194237
6782.958984	-98.489571
6804.492188	-95.984245
6826.025391	-94.944923
6847.558594	-98.098434
6869.091797	-97.625893
6890.625000	-97.397476
6912.158203	-98.747856
6933.691406	-99.746689
6955.224609	-99.968529
6976.757812	-100.057343
6998.291016	-99.983658
7019.824219	-100.938507
7041.357422	-101.310829
7062.890625	-100.637589
7084.423828	-99.769852
7105.957031	-100.040382
7127.490234	-99.923294
7149.023438	-100.724068
7170.556641	-100.735466
7192.089844	-99.755470
7213.623047	-99.722946
7235.156250	-100.000221
7256.689453	-99.821465
7278.222656	-100.374474
7299.755859	-100.199799
7321.289062	-100.313393
7342.822266	-100.902016
7364.355469	-101.300438
7385.888672	-100.815643
7407.421875	-101.086830
7428.955078	-101.320808
7450.488281	-101.418320
7472.021484	-101.528641
7493.554688	-101.235786
7515.087891	-99.154449
7536.621094	-97.228882
7558.154297	-99.741615
7579.687500	-99.980476
7601.220703	-98.878456
7622.753906	-100.607285
7644.287109	-99.729462
7665.820312	-99.331078
7687.353516	-99.175827
7708.886719	-100.507309
7730.419922	-101.450523
7751.953125	-101.655319
7773.486328	-101.697929
7795.019531	-101.503891
7816.552734	-100.766472
7838.085938	-100.851738
7859.619141	-100.891396
7881.152344	-101.214424
7902.685547	-101.835686
7924.218750	-101.861649
7945.751953	-102.334923
7967.285156	-102.592438
7988.818359	-101.933502
8010.351562	-101.571198
8031.884766	-101.783073
8053.417969	-101.431847
8074.951172	-101.458565
8096.484375	-101.554306
8118.017578	-101.926826
8139.550781	-102.447716
8161.083984	-101.422882
8182.617188	-100.990356
8204.150391	-101.007767
8225.683594	-99.906029
8247.216797	-99.382095
8268.750000	-100.803444
8290.283203	-99.131836
8311.816406	-100.247826
8333.349609	-99.795158
8354.882812	-100.946365
8376.416016	-101.154655
8397.949219	-100.382278
8419.482422	-100.319145
8441.015625	-101.258034
8462.548828	-100.219528
8484.082031	-99.807907
8505.615234	-99.768700
8527.148438	-101.160378
8548.681641	-102.308823
8570.214844	-101.784378
8591.748047	-102.139465
8613.281250	-102.873199
8634.814453	-102.627853
8656.347656	-101.686287
8677.880859	-102.132988
8699.414062	-103.005409
8720.947266	-102.684723
8742.480469	-101.475319
8764.013672	-101.546822
8785.546875	-101.842842
8807.080078	-102.916634
8828.613281	-103.334106
8850.146484	-101.431541
8871.679688	-101.008865
8893.212891	-102.403603
8914.746094	-102.826233
8936.279297	-103.405067
8957.812500	-102.967430
8979.345703	-102.581787
9000.878906	-102.649094
9022.412109	-103.301941
9043.945312	-102.846481
9065.478516	-102.216011
9087.011719	-101.711090
9108.544922	-101.769791
9130.078125	-101.925415
9151.611328	-102.699097
9173.144531	-102.323105
9194.677734	-102.174004
9216.210938	-102.716042
9237.744141	-103.249512
9259.277344	-102.950447
9280.810547	-103.310036
9302.343750	-103.647110
9323.876953	-102.700027
9345.410156	-102.155594
9366.943359	-102.981560
9388.476562	-103.196945
9410.009766	-103.495911
9431.542969	-103.167496
