#Time (s),Channel 1 (V),Channel 2 (V)
-0.005119196428571429,-0.3416319817342133,-2.174277384127118
-0.005117946428571428,-0.3369016240048786,-2.171586920754656
-0.005116696428571428,-0.3335227970553531,-2.169232765303752
-0.005115446428571428,-0.3321712662755438,-2.168223841539079
-0.005114196428571428,-0.328116673936114,-2.165869686088175
-0.005112946428571429,-0.3264272604613516,-2.164188146480386
-0.005111696428571428,-0.3230484335118268,-2.163179222715713
-0.005110446428571429,-0.3203453719522082,-2.160488759343252
-0.005109196428571428,-0.3166286623077296,-2.158134603892346
-0.005107946428571428,-0.3135877180531563,-2.156453064284557
-0.005106696428571428,-0.3112225391884899,-2.154098908833654
-0.005105446428571428,-0.3071679468490593,-2.151744753382749
-0.005104196428571428,-0.3054785333742978,-2.150063213774961
-0.005102946428571428,-0.3004102929500105,-2.147709058324057
-0.005101696428571429,-0.2977072313903906,-2.146027518716268
-0.005100446428571428,-0.2973693486954382,-2.144682287030037
-0.005099196428571429,-0.2926389909661056,-2.142664439500692
-0.005097946428571428,-0.2882465159317211,-2.138965052363555
-0.005096696428571428,-0.2852055716771474,-2.137619820677324
-0.005095446428571428,-0.2821646274225765,-2.136610896912651
-0.005094196428571428,-0.2791236831680031,-2.133920433540189
-0.005092946428571428,-0.2767585043033368,-2.132238893932401
-0.005091696428571428,-0.2730417946588594,-2.129548430559939
-0.005090446428571429,-0.2689872023194315,-2.127530583030594
-0.005089196428571428,-0.2659462580648573,-2.125176427579688
-0.005087946428571429,-0.264594727285048,-2.124167503815016
-0.005086696428571428,-0.2598643695557126,-2.120804424599438
-0.005085446428571428,-0.2564855426061859,-2.117777653305418
-0.005084196428571428,-0.252430950266758,-2.115423497854514
-0.005082946428571428,-0.2477005925374233,-2.113741958246726
-0.005081696428571428,-0.2453354136727559,-2.111724110717379
-0.005080446428571428,-0.242632352113136,-2.109369955266475
-0.005079196428571429,-0.2389156424686604,-2.107688415658687
-0.005077946428571428,-0.2348610501292289,-2.106006876050897
-0.005076696428571429,-0.2341852847393243,-2.104661644364667
-0.005075446428571428,-0.2291170443150367,-2.100962257227532
-0.005074196428571428,-0.2257382173655102,-2.098271793855069
-0.005072946428571428,-0.2220215077210346,-2.096926562168839
-0.005071696428571428,-0.2166153846017949,-2.093563482953261
-0.005070446428571429,-0.2135744403472226,-2.091881943345473
-0.005069196428571428,-0.2101956133976977,-2.090200403737684
-0.005067946428571429,-0.2071546691431268,-2.087846248286781
-0.005066696428571428,-0.204789490278458,-2.086501016600549
-0.005065446428571428,-0.2000591325491217,-2.082801629463412
