#Time (s),Channel 1 (V),Channel 2 (V)
-0.005119659090909091,-0.3433213952089758,-2.299047623025038
-0.005118409090909091,-0.3389289201745935,-2.29568454380946
-0.005117159090909091,-0.3372395066998297,-2.294675620044786
-0.005115909090909091,-0.3341985624452588,-2.291648848750767
-0.005114659090909091,-0.3311576181906864,-2.288958385378306
-0.005113409090909091,-0.3277787912411615,-2.286604229927402
-0.005112159090909091,-0.3247378469865893,-2.282904842790266
-0.005110909090909091,-0.321359020037066,-2.280550687339363
-0.005109659090909091,-0.3186559584774445,-2.277187608123785
-0.005108409090909091,-0.3152771315279191,-2.275169760594439
-0.005107159090909091,-0.3139256007481098,-2.274833452672881
-0.005105909090909091,-0.3102088911036308,-2.271134065535744
-0.005104659090909091,-0.3064921814591552,-2.267098370477053
-0.005103409090909091,-0.3037891198995353,-2.264744215026149
-0.005102159090909091,-0.2997345275601055,-2.262053751653687
-0.005100909090909091,-0.2963557006105807,-2.259363288281225
-0.005099659090909091,-0.2939905217459144,-2.257009132830322
-0.005098409090909091,-0.291625342881246,-2.254654977379416
-0.005097159090909091,-0.2868949851519101,-2.251291898163839
-0.005095909090909091,-0.2845298062872438,-2.248937742712935
-0.005094659090909091,-0.2828403928124791,-2.246919895183587
-0.005093409090909091,-0.2777721523881942,-2.244229431811127
-0.005092159090909091,-0.2740554427437169,-2.240193736752434
-0.005090909090909091,-0.2720281465740029,-2.237166965458416
-0.005089659090909091,-0.2686493196244772,-2.23481281000751
-0.005088409090909091,-0.2656083753699062,-2.231786038713492
-0.005087159090909091,-0.2618916657254275,-2.229095575341029
-0.005085909090909091,-0.2585128387759013,-2.227077727811681
-0.005084659090909091,-0.2554718945213303,-2.223378340674547
-0.005083409090909091,-0.252430950266758,-2.220687877302086
-0.005082159090909091,-0.2470248271475183,-2.217324798086508
-0.005080909090909091,-0.243983882892946,-2.213625410949373
-0.005079659090909091,-0.2412808213333273,-2.210262331733797
-0.005078409090909091,-0.2375641116888488,-2.207908176282892
-0.005077159090909091,-0.2338474020443732,-2.204881404988873
-0.005075909090909091,-0.2284412789251318,-2.200173094087063
-0.005074659090909091,-0.2281033962301774,-2.198827862400832
-0.005073409090909091,-0.2240488038907495,-2.196810014871486
-0.005072159090909091,-0.2193184461614147,-2.192438011891236
-0.005070909090909091,-0.2183047980765573,-2.191092780205004
-0.005069659090909091,-0.2122229095674126,-2.185711853460081
-0.005068409090909091,-0.2098577307027463,-2.183021390087621
-0.005067159090909091,-0.2044516075835055,-2.178649387107368
-0.005065909090909091,-0.2027621941087417,-2.177640463342694
-0.005064659090909091,-0.1997212498541708,-2.174277384127118
-0.005063409090909091,-0.1966803055995958,-2.170914304911539
-0.005062159090909091,-0.1909362997854062,-2.167551225695963
-0.005060909090909091,-0.1878953555308339,-2.163851838558828
-0.005059659090909091,-0.1835028804964516,-2.161161375186366
-0.005058409090909091,-0.1807998189368318,-2.157798295970789
-0.005057159090909091,-0.1774209919873085,-2.154771524676771
-0.005055909090909091,-0.1747179304276871,-2.151744753382749
-0.005054659090909091,-0.1686360419185412,-2.147372750402498
-0.005053409090909091,-0.1659329803589225,-2.144009671186922
-0.005052159090909091,-0.1632299187993005,-2.141991823657573
-0.005050909090909091,-0.1584995610699679,-2.13829243652044
-0.005049659090909091,-0.1537692033406332,-2.134593049383305
-0.005048409090909091,-0.1503903763911099,-2.130893662246172
-0.005047159090909091,-0.1456600186617736,-2.126857967187477
-0.005045909090909091,-0.142956957102155,-2.124167503815017
-0.005044659090909091,-0.1412675436273913,-2.121477040442553
-0.005043409090909091,-0.1365371858980551,-2.119122884991648
-0.005042159090909091,-0.1331583589485318,-2.115759805776072
-0.005040909090909091,-0.1287658839141495,-2.111387802795822
-0.005039659090909091,-0.1236976434898623,-2.106679491894013
-0.005038409090909091,-0.1203188165403375,-2.104325336443109
-0.005037159090909091,-0.1152505761160525,-2.09995333346286
-0.005035909090909091,-0.1135611626412878,-2.097935485933512
-0.005034659090909091,-0.1088308049119552,-2.094236098796379
-0.005033409090909091,-0.1054519779624282,-2.091209327502357
-0.005032159090909091,-0.1003837375381399,-2.086837324522106
-0.005030909090909091,-0.09801855867347362,-2.084483169071202
-0.005029659090909091,-0.09430184902899631,-2.079438550247836
-0.005028409090909091,-0.08990937399461404,-2.075739163110701
-0.005027159090909091,-0.08517901626527929,-2.072039775973566
-0.005025909090909091,-0.08180018931575601,-2.069685620522663
-0.005024659090909091,-0.07909712775613462,-2.068004080914874
-0.005023409090909091,-0.07571830080660719,-2.063968385856179
-0.005022159090909091,-0.06997429499241758,-2.060605306640603
-0.005020909090909091,-0.06524393726308145,-2.05623330366035
-0.005019659090909091,-0.0622029930085105,-2.051188684836986
-0.005018409090909091,-0.05916204875393816,-2.048161913542967
-0.005017159090909091,-0.05578322180441334,-2.045807758092063
-0.005015909090909091,-0.05003921599022113,-2.040763139268697
-0.005014659090909091,-0.0473361544306025,-2.038408983817793
-0.005013409090909091,-0.042943679396219,-2.034709596680658
-0.005012159090909091,-0.03821332166688287,-2.030001285778849
-0.005010909090909091,-0.03517237741231191,-2.027647130327945
-0.005009659090909091,-0.03280719854764208,-2.026638206563269
-0.005008409090909091,-0.02740107542840482,-2.02092097189679
-0.005007159090909091,-0.02300860039402255,-2.017894200602771
-0.005005909090909091,-0.0182782426646878,-2.012513273857847
-0.005004659090909091,-0.01489941571516297,-2.010495426328501
-0.005003409090909091,-0.01253423685049667,-2.006796039191368
-0.005002159090909091,-0.007128113731255881,-2.002760344132673
-0.005000909090909091,-0.00374928678172906,-1.999397264917094
-0.004999659090909091,0.0006431882526512122,-1.995361569858403
-0.004998409090909091,0.004697780592081,-1.993343722329056
-0.004997159090909091,0.00909025562646327,-1.987626487662575
-0.004995909090909091,0.01077966910122568,-1.986281255976344
-0.004994659090909091,0.01551002683055828,-1.981572945074538
-0.004993409090909091,0.02091614994980015,-1.978209865858958
-0.004992159090909091,0.02429497689932343,-1.974510478721825
-0.004990909090909091,0.02801168654380228,-1.970811091584688
-0.004989659090909091,0.0307147481034249,-1.967448012369109
-0.004988409090909091,0.03679663661256682,-1.963412317310418
-0.004987159090909091,0.03983758086713916,-1.961058161859514
-0.004985909090909091,0.04389217320656895,-1.956686158879263
-0.004984659090909091,0.04896041363085618,-1.951641540055897
-0.004983409090909091,0.05132559249552248,-1.948951076683436
-0.004982159090909091,0.05538018483495334,-1.947269537075646
-0.004980909090909091,0.05943477717438436,-1.942897534095394
-0.004979659090909091,0.06213783873400298,-1.940207070722934
-0.004978409090909091,0.06686819646333989,-1.935835067742682
-0.004977159090909091,0.07159855419267248,-1.931799372683991
-0.004975909090909091,0.07497738114219732,-1.927763677625298
-0.004974659090909091,0.07700467731191221,-1.925409522174394
-0.004973409090909091,0.081059269651342,-1.923391674645047
-0.004972159090909091,0.0857896273806746,-1.918683363743241
-0.004970909090909091,0.0905199851100115,-1.914983976606104
-0.004969659090909091,0.09356092936458675,-1.911620897390524
-0.004968409090909091,0.099980700568681,-1.906239970645603
-0.004967159090909091,0.1026837621283027,-1.902204275586908
-0.004965909090909091,0.1067383544677307,-1.899513812214448
-0.004964659090909091,0.110455064112208,-1.895141809234197
-0.004963409090909091,0.1134960083667803,-1.893460269626409
-0.004962159090909091,0.1165369526213526,-1.891442422097062
-0.004960909090909091,0.1202536622658282,-1.886397803273699
-0.004959659090909091,0.1246461373002122,-1.883371031979677
-0.004958409090909091,0.1280249642497389,-1.880344260685655
-0.004957159090909091,0.1320795565891668,-1.876308565626964
-0.004955909090909091,0.1371477970134541,-1.871936562646714
-0.004954659090909091,0.1401887412680264,-1.868573483431136
-0.004953409090909091,0.1428918028276463,-1.867228251744905
-0.004952159090909091,0.1472842778620266,-1.861847324999984
-0.004950909090909091,0.1516767528964108,-1.859493169549078
-0.004949659090909091,0.1553934625408864,-1.854448550725714
-0.004948409090909091,0.1604617029651753,-1.851085471510134
-0.004947159090909091,0.1624889991348911,-1.848395008137671
-0.004945909090909091,0.1645162953046051,-1.846377160608326
-0.004944659090909091,0.1685708876440349,-1.842677773471191
-0.004943409090909091,0.1722875972885122,-1.839651002177171
-0.004942159090909091,0.1773558377127995,-1.835951615040036
-0.004940909090909091,0.1817483127471797,-1.830906996216672
-0.004939659090909091,0.185465022391659,-1.82788022492265
-0.004938409090909091,0.1891817320361346,-1.824853453628632
-0.004937159090909091,0.1912090282058512,-1.821826682334611
-0.004935909090909091,0.195601503240235,-1.818127295197475
-0.004934659090909091,0.1989803301897583,-1.815436831825014
-0.004933409090909091,0.2037106879190931,-1.810392213001648
-0.004932159090909091,0.2064137494787129,-1.809046981315417
-0.004930909090909091,0.2094546937332853,-1.805347594178282
-0.004929659090909091,0.2135092860727132,-1.802320822884264
-0.004928409090909091,0.2175638784121449,-1.798957743668685
-0.004927159090909091,0.2195911745818622,-1.797276204060894
-0.004925909090909091,0.2249972977010995,-1.791895277315973
-0.004924659090909091,0.2280382419556727,-1.788195890178837
-0.004923409090909091,0.2300655381253867,-1.786178042649491
-0.004922159090909091,0.2354716612446264,-1.782478655512356
-0.004920909090909091,0.2385126054991988,-1.779451884218336
-0.004919659090909091,0.2418914324487236,-1.777097728767432
-0.004918409090909091,0.2439187286184376,-1.774070957473414
-0.004917159090909091,0.2483112036528208,-1.77003526241472
-0.004915909090909091,0.2520279132972997,-1.766672183199141
-0.004914659090909091,0.2557446229417754,-1.764318027748238
-0.004913409090909091,0.2591234498913015,-1.761291256454217
-0.004912159090909091,0.2621643941458725,-1.756919253473968
-0.004910909090909091,0.2655432210953974,-1.754901405944622
-0.004909659090909091,0.2675705172651113,-1.752883558415276
-0.004908409090909091,0.2726387576893995,-1.748847863356582
-0.004907159090909091,0.2750039365540658,-1.745484784141007
-0.004905909090909091,0.2783827635035916,-1.742794320768543
-0.004904659090909091,0.2814237077581656,-1.739767549474523
-0.004903409090909091,0.2848025347076888,-1.737413394023619
-0.004902159090909091,0.2871677135723562,-1.734050314808042
-0.004900909090909091,0.2905465405218811,-1.732705083121811
-0.004899659090909091,0.2932496020815009,-1.728333080141561
-0.004898409090909091,0.2983178425057858,-1.7256426167691
-0.004897159090909091,0.3023724348452179,-1.721270613788848
-0.004895909090909091,0.3037239656250272,-1.719925382102618
-0.004894659090909091,0.3077785579644576,-1.71656230288704
-0.004893409090909091,0.3121710329988395,-1.713199223671462
-0.004892159090909091,0.3111573849139824,-1.712526607828347
-0.004890909090909091,0.3158877426433172,-1.709836144455885
-0.004889659090909091,0.319942334982747,-1.704791525632519
-0.004888409090909091,0.3239969273221768,-1.701092138495384
-0.004887159090909091,0.3253484581019861,-1.700083214730711
-0.004885909090909091,0.3294030504414165,-1.697392751358249
-0.004884659090909091,0.3314303466111326,-1.695711211750458
-0.004883409090909091,0.3341334081707513,-1.691675516691767
-0.004882159090909091,0.3375122351202773,-1.688985053319304
-0.004880909090909091,0.3402152966798959,-1.686630897868401
-0.004879659090909091,0.3425804755445633,-1.684613050339055
-0.004878409090909091,0.3452835371041831,-1.681922586966593
-0.004877159090909091,0.349338129443613,-1.678895815672574
-0.004875909090909091,0.3513654256133269,-1.677214276064785
-0.004874659090909091,0.3544063698679002,-1.674187504770765
-0.004873409090909091,0.3574473141224735,-1.671160733476744
-0.004872159090909091,0.3594746102921874,-1.668806578025841
-0.004870909090909091,0.3621776718518088,-1.667125038418051
-0.004869659090909091,0.3655564988013321,-1.664434575045591
-0.004868409090909091,0.3679216776659995,-1.661744111673129
-0.004867159090909091,0.3706247392256181,-1.658717340379111
-0.004865909090909091,0.3746793315650491,-1.654345337398859
-0.004864659090909091,0.3753550969549538,-1.654009029477301
-0.004863409090909091,0.3763687450398115,-1.651991181947955
-0.004862159090909091,0.3807612200741951,-1.650309642340164
-0.004860909090909091,0.3834642816338137,-1.646946563124589
-0.004859659090909091,0.3861673431934335,-1.644928715595242
-0.004858409090909091,0.3885325220581009,-1.64223825222278
-0.004857159090909091,0.3905598182278158,-1.640893020536549
-0.004855909090909091,0.3925871143975297,-1.639884096771877
-0.004854659090909091,0.396303824042008,-1.636184709634741
-0.004853409090909091,0.398331120211722,-1.633830554183838
-0.004852159090909091,0.4006962990763903,-1.632149014576048
-0.004850909090909091,0.4023857125511547,-1.629458551203585
-0.004849659090909091,0.406778187585535,-1.626768087831124
-0.004848409090909091,0.4074539529754399,-1.625759164066451
-0.004847159090909091,0.4098191318401073,-1.623068700693989
-0.004845909090909091,0.4121843107047747,-1.621723469007758
-0.004844659090909091,0.414549489569441,-1.619033005635298
-0.004843409090909091,0.4169146684341094,-1.617687773949066
-0.004842159090909091,0.4182661992139203,-1.615669926419719
-0.004840909090909091,0.4202934953836343,-1.61398838681193
-0.004839659090909091,0.4253617358079213,-1.611634231361025
-0.004838409090909091,0.425023853112969,-1.60961638383168
