#Time (s),Channel 1 (V),Channel 2 (V)
-0.00511929347826087,-0.6801904420766006,-2.595334901917403
-0.005118043478260869,-0.6761358497371709,-2.594325978152729
-0.005116793478260869,-0.670729726617928,-2.591299206858709
-0.005115543478260869,-0.663634190023929,-2.587936127643133
-0.005114293478260869,-0.6572144188198319,-2.58390043258444
-0.00511304347826087,-0.6504567649207822,-2.58087366129042
-0.005111793478260869,-0.6457264071914475,-2.577510582074843
-0.00511054347826087,-0.6413339321570672,-2.575829042467055
-0.005109293478260869,-0.634914160952968,-2.572465963251477
-0.005108043478260869,-0.627480741664011,-2.567757652349667
-0.005106793478260869,-0.6220746185447737,-2.565067188977206
-0.005105543478260869,-0.6156548473406742,-2.560358878075396
-0.005104293478260869,-0.6105866069163893,-2.556659490938263
-0.005103043478260869,-0.6034910703223871,-2.552960103801128
-0.00510179347826087,-0.5974091818132425,-2.548924408742435
-0.005100543478260869,-0.5913272933040978,-2.544888713683743
-0.00509929347826087,-0.5835559913201943,-2.540516710703494
-0.005098043478260869,-0.5764604547261886,-2.536481015644799
-0.005096793478260869,-0.5700406835220894,-2.531436396821432
-0.005095543478260869,-0.5653103257927566,-2.528073317605855
-0.005094293478260869,-0.5602420853684651,-2.523701314625602
-0.005093043478260869,-0.5507813699098,-2.517647772037566
-0.005091793478260869,-0.5443615987057028,-2.512939461135757
-0.00509054347826087,-0.5389554755864655,-2.509240073998624
-0.005089293478260869,-0.5332114697722709,-2.505540686861488
-0.00508804347826087,-0.5257780504833196,-2.500496068038124
-0.005086793478260869,-0.5203719273640766,-2.496460372979429
-0.005085543478260869,-0.5126006253801658,-2.490406830391386
-0.005084293478260869,-0.5044914407013099,-2.484689595724908
-0.005083043478260869,-0.4984095521921652,-2.480317592744657
-0.00508179347826087,-0.4919897809880679,-2.474936665999733
-0.005080543478260869,-0.4848942443940658,-2.468883123411694
-0.00507929347826087,-0.4784744731899716,-2.46383850458833
-0.005078043478260869,-0.4710410539010141,-2.460475425372751
-0.00507679347826087,-0.4632697519171105,-2.453412959020041
-0.005075543478260869,-0.4558363326281524,-2.447023108510441
-0.005074293478260869,-0.4497544441190046,-2.442651105530189
-0.005073043478260869,-0.442996790219958,-2.437606486706825
-0.005071793478260869,-0.435225488236051,-2.431216636197228
-0.00507054347826087,-0.4294814824218587,-2.425499401530746
-0.005069293478260869,-0.4220480631329041,-2.42045478270738
-0.00506804347826087,-0.4139388784540482,-2.413056008433113
-0.005066793478260869,-0.4081948726398524,-2.408347697531302
-0.005065543478260869,-0.4000856879609894,-2.402966770786375
-0.005064293478260869,-0.3926522686720382,-2.396913228198339
-0.005063043478260869,-0.3875840282477468,-2.392877533139642
-0.005061793478260869,-0.3784611954840339,-2.38480614302226
-0.005060543478260869,-0.3693383627203169,-2.37740736874799
-0.00505929347826087,-0.3635943569061247,-2.373035365767739
-0.005058043478260869,-0.3564988203121225,-2.367654439022816
-0.00505679347826087,-0.348727518328219,-2.360928280591664
-0.005055543478260869,-0.3416319817342133,-2.354538430082064
-0.005054293478260869,-0.3352122105301128,-2.348484887494022
-0.005053043478260869,-0.3277787912411615,-2.342767652827543
-0.005051793478260869,-0.3196696065622986,-2.336041494396386
-0.005050543478260869,-0.3122361872733474,-2.32998795180835
-0.005049293478260869,-0.3051406506793453,-2.322925485455637
-0.00504804347826087,-0.296693583305537,-2.315863019102927
-0.005046793478260869,-0.2906116947963885,-2.311491016122674
