#Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.00209080831607747,0,0.0231972740871041,0
0.48828125,0.002020468164599954,179.836775459008,0.02239478542568055,179.9342381698997
0.9765625,0.001345176009617006,179.4631188755878,0.01497141740683336,179.7840777238772
1.46484375,0.0003882030199574461,179.5443634841725,0.00449257762067717,179.1844985744552
1.953125,1.347040297455979e-05,93.81056198637981,0.0003367450484676852,169.1138399297187
2.44140625,4.50447831523516e-05,158.6858060521169,7.51940533721585e-05,127.8141107610533
2.9296875,4.812937190164934e-05,147.2848125880861,8.348718253868424e-05,143.2226872730737
3.41796875,4.106131842253979e-05,131.3633669831312,8.433780072202588e-05,149.0284635256151
3.90625,1.201697471616192e-05,124.2710361934042,7.122764568004291e-05,163.5438912409375
4.39453125,1.737542954987246e-05,160.5362962533229,4.204828175739568e-05,8.269869813544654
4.8828125,3.312299176618383e-05,154.526620187024,7.388201000466795e-06,54.25619587689334
5.37109375,5.474616140631855e-05,117.1060409475183,2.496491481249726e-05,13.37488494126993
5.859375,8.879477784969173e-05,100.8391354286355,4.035376723568514e-05,28.02718306442327
6.34765625,0.0001029683000976726,102.5327975340148,4.749588570244468e-05,43.95012766155118
6.8359375,0.0001155293022273743,102.397142530428,3.426101672774448e-05,39.47562019850467
7.32421875,0.0001238316496392654,98.94217935807968,2.20512829768693e-05,153.6354068222929
7.8125,0.0001088252202209478,96.71458399951267,3.979273294131397e-05,126.5652530737748
8.30078125,8.974315197213893e-05,95.20944700258715,4.423358600597067e-05,125.7984793310292
8.7890625,7.036125047197018e-05,107.1423192545697,3.273551750880416e-05,135.9174182162685
9.27734375,4.624165195620779e-05,150.2434763305777,2.888984820304687e-05,160.1710588763507
9.765625,6.781269071634632e-05,7.907844616151708,2.260796815360644e-05,177.038553786307
10.25390625,0.0001037378579410781,13.48104894755914,7.604291192289326e-06,10.38452780759576
10.7421875,0.0001107071041939239,25.98148864359088,7.073663730244535e-06,59.63007559269973
11.23046875,9.534072614907357e-05,36.99241726689912,2.015750604079054e-05,12.28032086258955
11.71875,8.48369971119271e-05,45.2089941130934,4.621267976646644e-05,1.715861398592083
12.20703125,8.868381683971087e-05,65.46231698494067,6.190450505543288e-05,0.8775291948152046
12.6953125,8.92629796648542e-05,77.58480267634621,6.052804517267724e-05,170.8056069640201
13.18359375,6.8915594890089e-05,76.27962524312173,5.582407962671082e-05,162.2894778701067
13.671875,4.324215896674134e-05,85.5249735008739,5.044542111820955e-05,155.9021681389761
14.16015625,2.987157809874903e-05,125.3731470291262,4.619569458603795e-05,154.3811583381968
14.6484375,2.417024459638884e-05,147.0766160722335,3.9721538730812e-05,174.5714562499111
15.13671875,2.218017611192329e-05,129.889958996318,3.6907615600382e-05,28.98454947781185
15.625,2.580414352521528e-05,89.48683299398851,4.308751953901555e-05,61.57759458122879
16.11328125,3.860452423653253e-05,48.72020099333407,5.709763650076218e-05,78.57984587787045
16.6015625,4.438940573277081e-05,41.46945044633645,6.396014388417852e-05,76.88283716026241
17.08984375,4.884262555188262e-05,44.27591698080602,6.340505599387777e-05,62.84931977578715
17.578125,5.562294520820128e-05,51.90353456550251,5.603123657483855e-05,50.0240439133269
18.06640625,5.378943317962428e-05,69.6513458105624,3.370824389199069e-05,45.96269691553947
18.5546875,5.849480470968623e-05,72.04920454641372,1.639645773729797e-05,78.84311078302791
19.04296875,6.809221405562216e-05,68.38602527093497,2.47169886309226e-05,125.505463610356
19.53125,7.444706614280628e-05,77.90879969996342,3.73257973047805e-05,135.5054317994768
20.01953125,7.935138105967979e-05,88.33901130170976,4.316406124612548e-05,125.745833693331
20.5078125,7.37623386202769e-05,94.79955298463129,3.50856157410634e-05,108.2222979621968
20.99609375,7.295823639277702e-05,108.3344608239669,2.12079527862999e-05,77.93428418070422
21.484375,8.714147491499585e-05,120.6819544065798,1.228226965379057e-05,14.46096227917409
21.97265625,8.659397053636191e-05,127.8053281470964,2.624342380116022e-05,128.1431041064772
22.4609375,8.494119440192494e-05,136.1634452647089,4.476688489103042e-05,126.5202179028181
22.94921875,8.605009596753991e-05,140.5588535135769,5.348019009815665e-05,127.515858940539
23.4375,6.460634844271142e-05,152.8388760722134,5.55045946326317e-05,119.4698597214169
23.92578125,4.286321043030895e-05,13.1883852618248,5.229329235721015e-05,121.7141104937486
24.4140625,3.02756150796986e-05,57.02321940066813,4.156891393170345e-05,141.1651258762702
24.90234375,1.706360079004705e-05,101.8582629617257,3.007865368748032e-05,161.2244447280333
25.390625,9.82051445433355e-06,105.5530962281241,2.389338222246064e-05,0.2629523315701384
25.87890625,1.442489583206241e-05,171.0652097864711,1.99293323868825e-05,9.536530952103229
26.3671875,5.361653567317078e-05,169.342744841628,8.585250206610086e-06,139.8317172521412
26.85546875,9.329383954190726e-05,6.725109323609625,1.740024451461883e-05,51.52666551274755
27.34375,0.0001023198316495867,14.93739994294959,3.491650890196457e-05,15.85587731700142
