#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.007995099024535268,-11.00132519565991,-93.56572264474893
1009.252886076684,-0.008378369655286051,-10.92122750421708,-93.59660843080127
1018.591388054117,-0.008142638099365608,-10.83999993424248,-93.62315441909293
1028.016298126473,-0.007958969617083223,-10.76024686790005,-93.65540203117484
1037.528415818013,-0.008275074258921968,-10.67895324823191,-93.68992147316601
1047.1285480509,-0.008162637111160997,-10.59936699175178,-93.72295190551807
1056.817509213658,-0.007980669802835672,-10.5190747049611,-93.75011411728461
1066.596121230258,-0.008049929957763468,-10.43828653969369,-93.77572196534921
1076.465213629835,-0.007982421741796253,-10.35743791066804,-93.81435485945271
1086.425623617065,-0.008110853162557691,-10.27611069833711,-93.84418696116418
1096.478196143185,-0.007515767285467665,-10.19569511455106,-93.86880290714714
1106.623783977666,-0.008033245986947182,-10.11427350988959,-93.90552068358538
1116.863247780561,-0.007981732282312574,-10.03514416145146,-93.93873348992167
1127.197456175511,-0.007985635863684873,-9.953703380245953,-93.97226977384881
1137.627285823431,-0.007705633509968331,-9.873645100555441,-94.00398392998966
1148.153621496883,-0.007979496841815337,-9.791850423716292,-94.03190573805165
1158.777356155126,-0.00773263242463606,-9.711656289254467,-94.06657570076183
1169.499391019871,-0.007529429143679734,-9.630549054726034,-94.10698915831033
1180.32063565173,-0.007629117545321995,-9.549387039956054,-94.14089238962057
1191.242008027375,-0.007757635992746958,-9.468770973760877,-94.17209092015949
1202.264434617413,-0.007656855807317453,-9.387986257404226,-94.20873471573168
1213.388850464977,-0.007399872527015976,-9.307352050098354,-94.24136244054769
1224.616199265049,-0.007382228704051667,-9.225809994550749,-94.27758787689442
1235.947433444511,-0.007310116043309452,-9.14379389923057,-94.31302284069386
1247.383514242943,-0.007690222494620104,-9.063322619095622,-94.35091127286219
1258.925411794168,-0.007394882745060736,-8.981868935322742,-94.38866062889758
1270.574105208542,-0.007504577459166834,-8.900910807464861,-94.42502187902619
1282.330582656022,-0.007345626180590269,-8.819892732658738,-94.46662032072805
1294.195841449986,-0.007400322803619019,-8.739191163401994,-94.49914657973937
1306.170888131842,-0.007301439608048462,-8.657587695610417,-94.53675710843541
1318.256738556408,-0.006998180421154877,-8.576510593473612,-94.58194545227522
1330.454417978091,-0.007036400965563553,-8.495689816963234,-94.61587614550037
1342.764961137864,-0.007179554476755697,-8.414634859848745,-94.65551763026934
1355.189412351036,-0.006713694067383145,-8.333697265968539,-94.69531462131994
1367.728825595849,-0.006863809429898016,-8.251366073305803,-94.73498476192515
1380.384264602885,-0.007039826769193162,-8.169753511168921,-94.77624333412963
1393.156802945303,-0.006850085934410843,-8.088626090582977,-94.81859220227756
1406.047524129914,-0.007043401113238881,-8.007691188215562,-94.85644368011124
1419.057521689092,-0.006675496501630584,-7.925790305298209,-94.89707817329395
1432.187899273543,-0.006923700725464582,-7.844552393338025,-94.93934200454424
1445.439770745927,-0.0067580336282321,-7.762389924541026,-94.98908364703314
1458.814260275348,-0.006713834237621692,-7.681410186201312,-95.02497736625702
1472.312502432719,-0.006376433041279461,-7.599525448465342,-95.07055171110463
1485.935642287007,-0.006438305736401437,-7.518238896970225,-95.11491487135575
1499.684835502373,-0.006673471384433506,-7.436145244940729,-95.15937365330454
1513.561248436208,-0.006366591367773952,-7.35375580550097,-95.20196494820672
1527.566058238072,-0.006335221220260765,-7.272709888917746,-95.25249169575045
1541.700452949559,-0.006475026028857869,-7.190571323611551,-95.29615935778099
1555.965631605074,-0.006246163737943906,-7.108626713270124,-95.34331734378233
1570.362804333552,-0.006286236013823644,-7.027510057899474,-95.38991675478405
1584.893192461113,-0.005997529713844909,-6.945640653254049,-95.43543663229548
1599.558028614669,-0.005937124812354826,-6.863758843354488,-95.48502578219626
1614.358556826486,-0.006221928903838189,-6.781668752147294,-95.53261092591285
1629.296032639722,-0.006336451755599012,-6.698624942528801,-95.57884848053143
1644.371723214931,-0.00634894128582017,-6.616596819542469,-95.62802813900842
1659.586907437561,-0.006522679711482815,-6.534773981490844,-95.67686755480236
1674.942876026437,-0.006185260237115801,-6.452598785717946,-95.73047148460579
