#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.01585049428797075,-37.50403887036308,173.331232785586
1009.252886076684,-0.01604284117365204,-37.3104203788097,173.1614855443527
1018.591388054117,-0.01600054149286622,-37.13100378244779,173.0639148781042
1028.016298126473,-0.01614980717712424,-36.94378386226354,173.1009368127959
1037.528415818013,-0.016178090698974,-36.75522757624915,173.0078355321532
1047.1285480509,-0.01634807324560209,-36.5821116810349,172.8881734062158
1056.817509213658,-0.01607613392740691,-36.38146941393086,172.822154955839
1066.596121230258,-0.01590283635975799,-36.19162300660454,172.7959518765007
1076.465213629835,-0.01611048451050826,-36.01105150802965,172.7404252195516
1086.425623617065,-0.01594922427049027,-35.82648602470198,172.622022652522
1096.478196143185,-0.01599213864048498,-35.6337939604046,172.6099373599985
1106.623783977666,-0.01626019405597254,-35.44873431350355,172.4939060044674
1116.863247780561,-0.01621664359610665,-35.2584749966168,172.3991754594284
1127.197456175511,-0.01595595267963008,-35.0825065673346,172.3676123021606
1137.627285823431,-0.01606916196584868,-34.89907749697632,172.3541958507162
1148.153621496883,-0.0161569790230706,-34.71264420636498,172.2441267429667
1158.777356155126,-0.01612206314095782,-34.52110398056301,172.1356704583926
1169.499391019871,-0.01566000335734532,-34.33192610699963,172.1157851223606
1180.32063565173,-0.01560886984223955,-34.14454252973244,171.9337716995741
1191.242008027375,-0.01591549042022818,-33.95020486569428,171.9095994938992
1202.264434617413,-0.01575980445791111,-33.7464265257172,171.8058298138485
1213.388850464977,-0.01567588799596457,-33.56515448935785,171.7622218455525
1224.616199265049,-0.01581033911770746,-33.3678144497365,171.602165256724
1235.947433444511,-0.01539931367418646,-33.19340362508463,171.5349730407709
1247.383514242943,-0.01573213572609999,-32.97969509550856,171.5274831391906
1258.925411794168,-0.01550193475282785,-32.79788689106275,171.4191589642529
1270.574105208542,-0.01583606438040398,-32.58466341355665,171.3016540814727
1282.330582656022,-0.01564304179633395,-32.38459615829831,171.2353525349427
1294.195841449986,-0.01565674091241881,-32.19692420942363,171.1242002918037
1306.170888131842,-0.01580908620576872,-31.99867874486001,171.0199565720198
1318.256738556408,-0.01550602901378237,-31.79945825389441,170.9417977461545
1330.454417978091,-0.01605639118171399,-31.59824786745518,170.7812577847003
1342.764961137864,-0.01534716224350488,-31.39871708967424,170.694097717457
1355.189412351036,-0.01504148879947333,-31.18634560226274,170.6318018805051
1367.728825595849,-0.01543094008947249,-30.99938295973485,170.4992773118027
1380.384264602885,-0.01491877719921291,-30.78942545917101,170.3781984018791
1393.156802945303,-0.01492899677307333,-30.57452040823649,170.30167703534
1406.047524129914,-0.01497551549777087,-30.36157216607098,170.166902337777
1419.057521689092,-0.01509492469718508,-30.14893219387208,170.0680521153254
1432.187899273543,-0.01437875056080809,-29.95072868917599,169.9877972054111
1445.439770745927,-0.01469717350845639,-29.7366095195879,169.8154728010181
1458.814260275348,-0.01470450512274954,-29.52263260984264,169.7344061847215
1472.312502432719,-0.01515768247491926,-29.3000886904098,169.6341734161564
1485.935642287007,-0.0147765276934626,-29.08993808856373,169.4842235082112
1499.684835502373,-0.01428341475065521,-28.86350442976381,169.3442882504503
1513.561248436208,-0.01442597190619482,-28.64423079979593,169.1959325070904
1527.566058238072,-0.01468733770705957,-28.42166934246434,169.0569630317193
1541.700452949559,-0.01459318358101522,-28.20408153774429,168.9306890638041
1555.965631605074,-0.01456087262670196,-27.98049530118749,168.7788055468711
1570.362804333552,-0.01435167638908457,-27.75671711614275,168.6656345382569
1584.893192461113,-0.01398695950449022,-27.52766128735096,168.4834846087138
1599.558028614669,-0.01358422789721208,-27.29939967796193,168.3754905164758
1614.358556826486,-0.01423758219961488,-27.0663207314177,168.2097731180908
1629.296032639722,-0.01427924543571731,-26.83269504362979,168.0601730219765
1644.371723214931,-0.01411027825056097,-26.60175334556431,167.9056181559125
1659.586907437561,-0.01405737339168302,-26.36653564974469,167.7009698635724
1674.942876026437,-0.01392159770214853,-26.12996995206328,167.5553722291757
1690.440931643264,-0.01406308643618998,-25.89062507697001,167.3660426140175
1706.082389003124,-0.01387291799790206,-25.65217858174012,167.1662732735218
1721.868574986007,-0.01376660521444245,-25.40827928456852,167.0072745809234
1737.800828749376,-0.01363731783911701,-25.15728577436438,166.827969559026
1753.880501841761,-0.01339502161015053,-24.9017880973059,166.6578869619367
1770.108958317421,-0.01333854295238488,-24.65329129994794,166.4141409740142
1786.487574852051,-0.01325652418790848,-24.39913130936563,166.2203535296389
1803.017740859569,-0.01325653654812975,-24.14295476241788,166.0429347346624
1819.700858609984,-0.01330077386464026,-23.88610331269579,165.7929362588315
1836.538343348346,-0.01313981490231903,-23.62117343796058,165.60532353389
1853.531623414811,-0.01310875802623426,-23.35868282352827,165.3632882160693
1870.6821403658,-0.0130722633055487,-23.08549477214445,165.1016014182478
1887.991349096294,-0.0129853120772949,-22.80799493813262,164.8783270236308
1905.460717963247,-0.01267949072733424,-22.53424087112824,164.6227794903401
1923.091728910159,-0.01248798728815395,-22.25434465180017,164.3656302049118
1940.885877592778,-0.01261461228851058,-21.96614519864021,164.0738878641408
1958.84467350599,-0.01288893390066119,-21.67909804289495,163.7989017061356
1976.969640111861,-0.0126530872526765,-21.38783088636826,163.4917188986572
1995.26231496888,-0.01286089466969795,-21.08425871834123,163.2094144598339
2013.724249862388,-0.0125712696500648,-20.78156567918256,162.8562605963964
2032.357010936222,-0.01221891583077641,-20.47728639277295,162.5124861919359
2051.162178825566,-0.01216302770970579,-20.16068246063403,162.1722845566466
2070.141348791043,-0.01210725242516525,-19.83760252611704,161.8029651081076
2089.29613085404,-0.01197297012627474,-19.51614476060947,161.4311653668678
2108.628149933289,-0.01213317081393673,-19.18617412657718,161.0304833563683
2128.139045982712,-0.01196400931075554,-18.85111870917824,160.6065356340229
2147.830474130534,-0.01191006993082224,-18.5067378607021,160.1681052994489
2167.704104819695,-0.01146340731657675,-18.15540525587659,159.7017490313526
2187.761623949553,-0.01170377150765569,-17.80099935062057,159.2095955665312
2208.004733018899,-0.01112431391119377,-17.43342693332495,158.6711964446749
2228.435149270303,-0.01110420237566901,-17.0594439458375,158.1141506681342
2249.05460583578,-0.01160011210770385,-16.67394066311705,157.5204565034635
2269.864851883821,-0.010684999379411,-16.28278383111429,156.8936960950546
2290.867652767773,-0.01031785562663729,-15.87910310309659,156.2174535728592
2312.064790175594,-0.01090822493285584,-15.46413252881112,155.4832388016174
2333.458062281002,-0.01082726706319804,-15.0371701571502,154.7257049947502
2355.049283896009,-0.01068791645659152,-14.59597362578274,153.8696816265957
2376.840286624876,-0.01027263340955973,-14.14527391196932,152.9705102784343
2398.83291901949,-0.01021453737512442,-13.67453082566741,151.9699939751141
2421.029046736178,-0.01048258771011475,-13.19120482318225,150.9019002123058
2443.430552693972,-0.01068796653805065,-12.68881030952965,149.7080887613266
2466.039337234339,-0.009656748945566907,-12.17333760908542,148.4074877493587
2488.85731828239,-0.009894288069713845,-11.63481486952104,146.9696413492259
2511.886431509579,-0.009809387211686707,-11.07745942536202,145.3679504326142
2535.128630497907,-0.009034504995170596,-10.49927157985402,143.5623868884473
2558.585886905645,-0.00934584066589172,-9.89848823106518,141.5455518522929
2582.260190634596,-0.009246436450265502,-9.273020953849848,139.2535249489775
2606.153549998895,-0.00953955653282814,-8.625685157143243,136.6634260350917
2630.267991895381,-0.008651086478397314,-7.958653760103377,133.6832913767414
2654.605561975539,-0.008694749138979468,-7.273332844085631,130.2516869812007
2679.168324819032,-0.008970792524613275,-6.578086095384915,126.3032477806053
2703.958364108843,-0.008481048361919055,-5.883133031719287,121.7282462812098
2728.977782808041,-0.008549643095123823,-5.208261241090035,116.5017215110299
2754.228703338166,-0.008923721036859731,-4.578301325980648,110.5613321630199
2779.713267759288,-0.00783878596073834,-4.021196539342973,103.923529287038
2805.433637951713,-0.008395525795369941,-3.56698494806948,96.70678659780214
2831.391995799379,-0.008171203154741768,-3.246741060106705,89.1272106363955
2857.590543374947,-0.007344578246398187,-3.071423470445005,81.42307885235022
2884.031503126606,-0.007797189116492477,-3.040286973401832,73.88185135547644
2910.717118066605,-0.007085104121059915,-3.141223261415462,66.68735432656932
2937.649651961531,-0.007294781135265346,-3.349381037351711,59.98081539716623
2964.831389524342,-0.007260013986180582,-3.64287445756487,53.85878118719478
2992.264636608189,-0.006714659005023443,-3.996060674928778,48.3203249239005
3019.951720402016,-0.006960447626086496,-4.389841950244914,43.37023081323392
3047.894989627983,-0.006020223643468902,-4.808377640389027,38.94753901352702
3076.096814740708,-0.006441964087969231,-5.240004788781622,35.01450874041839
3104.559588128356,-0.006472463896263418,-5.673784450555201,31.50807455824395
3133.285724315585,-0.005813189499094383,-6.104402736633699,28.37734288059298
3162.277660168379,-0.006078798675687706,-6.524542909183245,25.59543218529408
3191.537855100762,-0.005100083643836376,-6.937824770007452,23.08849055900578
3221.068791283435,-0.005611295793370904,-7.337809506256487,20.83824618517619
3250.872973854343,-0.005217703659263358,-7.722554800007792,18.81032947177616
3280.95293113119,-0.005223404276061932,-8.090778531751294,16.96899919114415
3311.311214825912,-0.005039268205639901,-8.443163597720385,15.29082173137229
3341.950400261143,-0.005099722948423965,-8.785999179478905,13.75713889251957
3372.873086588689,-0.005117942554296821,-9.10917971317472,12.36229773055402
3404.081897010009,-0.004294449290576204,-9.423031248524685,11.04483391890133
3435.579478998747,-0.004596300512556586,-9.721526347562421,9.863848864518268
3467.368504525316,-0.003878478259469165,-10.00555844626205,8.750341696606533
3499.451670283573,-0.003925956089374474,-10.27797672444605,7.734529214677806
3531.83169791957,-0.003017914247269972,-10.53870265279141,6.749842466602985
3564.511334262443,-0.00359387405227996,-10.78693201949904,5.868860489349384
3597.493351557423,-0.002698648974413405,-11.02805771083107,5.005519063882289
3630.780547701014,-0.003317752738869981,-11.25734771446497,4.210927084925316
3664.375746478333,-0.002659886691713051,-11.47652636118853,3.459613608578678
3698.281797802663,-0.002932923095463705,-11.68537839802631,2.738821763123696
3732.501577957206,-0.002371884800138923,-11.88438274100978,2.054352890841386
3767.037989839089,-0.002549665890815759,-12.07941854207367,1.411392686188897
3801.893963205613,-0.001910960034633662,-12.26282886208744,0.8078097795477817
3837.072454922788,-0.002467085570658346,-12.43997004949903,0.2022439874677389
3872.576449216172,-0.001491495137166883,-12.61114408880468,-0.3616796202782382
3908.408957924021,-0.001708472415584107,-12.77687640922658,-0.8939188340432054
3944.573020752785,-0.0009219284756194486,-12.93136178894278,-1.442904148121471
3981.071705534973,-0.001737713705222789,-13.08567442849329,-1.954471688850333
4017.9081084894,-0.0005746612126390593,-13.22803357744032,-2.444220216364073
4055.08535448384,-0.0002249482863495179,-13.36842759464223,-2.919440689316659
4092.60659730011,-0.0002689232951742559,-13.50209890679572,-3.390862021142453
4130.475019901614,0.0004079909417551814,-13.62919258941529,-3.858719111374413
4168.693834703355,-6.682102056443744e-05,-13.7518000362158,-4.29580230989157
4207.266283844442,0.0006842016134843889,-13.87219604989775,-4.73145542390796
4246.195639463131,0.0004608423997735039,-13.98456436686824,-5.15689034763905
4285.485203974396,0.001059955265998272,-14.09472864572764,-5.552595132422468
4325.138310350088,0.0006894091157186136,-14.19807099581548,-5.958855177804921
4365.158322401661,0.00140085929085382,-14.30305767743848,-6.356031173006034
4405.548635065535,0.001866166815370194,-14.39790627952016,-6.729392812496513
4446.312674691088,0.001563580567443449,-14.4907789323748,-7.14815813553588
4487.453899331323,0.002290874702601988,-14.57938631301396,-7.531535669798139
4528.97579903621,0.001297275678203859,-14.66609712882004,-7.907616647337804
4570.881896148752,0.002596692259178465,-14.75162334031495,-8.293995187929909
4613.175745603795,0.002755764920600906,-14.82877433192716,-8.64129103290108
4655.860935229591,0.002551167105851177,-14.9054805948529,-9.014581417356197
4698.941086052156,0.003800855280291606,-14.97948120372319,-9.363521751392966
4742.419852602448,0.002915106378004236,-15.04906165579057,-9.76600073076937
4786.300923226385,0.003944049225166071,-15.11593525757097,-10.11150429600653
4830.588020397729,0.004255194985755258,-15.17962305706392,-10.47793587475871
4875.284901033862,0.001238498995393123,-15.24157996223547,-10.8264279574143
4920.395356814509,0.004964620885127622,-15.29980559318737,-11.19093575992179
4965.92321450336,0.004641471176945328,-15.3541705034453,-11.54555625296101
5011.872336272722,0.004513629580012838,-15.40705570283758,-11.91775005631499
5058.24662003114,0.00548139949912629,-15.45745275484748,-12.27151021179691
5105.049999754062,0.005039467607097085,-15.50761161595767,-12.63719367777341
5152.286445817565,0.00554062528540559,-15.54872389228785,-13.00464012061491
5199.95996533516,0.006321477330727402,-15.59669469527143,-13.3560876491136
5248.074602497726,0.004706715476983109,-15.63584722818429,-13.71978747399029
5296.634438916578,0.005965436205185769,-15.67578976791984,-14.07116132475778
5345.643593969717,0.006709242426090783,-15.71046546187322,-14.44637987641282
5395.106225151277,0.004851884479136108,-15.74773388732555,-14.81893128003915
5445.026528424212,0.006793265265482755,-15.77572373481555,-15.20613403993236
5495.408738576246,0.008242930040378365,-15.80826437958521,-15.55834007364727
5546.257129579108,0.005688188993101811,-15.83595470156816,-15.96134945462083
5597.576014951102,0.007711251688268746,-15.86496942783362,-16.33538336796761
5649.369748123026,0.008682158154723488,-15.88588251442068,-16.72650728751483
5701.642722807474,0.006024437497957257,-15.90696684023415,-17.11257134917855
5754.39937337157,0.008260926623245429,-15.93245068775827,-17.52736946054407
5807.644175213121,0.00933544310062194,-15.94804018231257,-17.92586917566868
5861.381645140288,0.008759554206377366,-15.96562408457105,-18.31060883815319
5915.61634175474,-0.002754018100944138,-15.98089130997814,-18.71445830026579
5970.352865838369,0.01025400907026263,-15.99290251819873,-19.13702094170915
6025.595860743578,0.01029039534535543,-16.00413883539432,-19.54976034550712
6081.350012787179,0.002092157742311411,-16.01308876068463,-19.99177734622348
6137.620051647943,0.01098294959080325,-16.0169863261956,-20.4344894209
6194.410750767815,0.01130021566729856,-16.0216875654494,-20.87526349814641
6251.726927756858,0.007463463474806439,-16.02781896059083,-21.33274441531533
6309.573444801933,0.01137180353050833,-16.03264962961008,-21.76210729911136
6367.955209079159,0.01238743884635042,-16.03452056603295,-22.25058126258386
6426.877173170198,0.01055027149835679,-16.02894553567706,-22.6924874734709
6486.344335482384,0.0004531149457703859,-16.03203468943878,-23.1949769070111
6546.361740672747,0.01254211554707946,-16.02398301990799,-23.669231460878
6606.934480075957,0.01327041955528908,-16.02094989087693,-24.1743474581211
6668.067692136219,0.009464648432012833,-16.01013100928991,-24.70822438582033
6729.766562843176,0.00346979346398041,-16.00577806402711,-25.20414904906352
6792.036326171844,0.01434798424173297,-15.98792202487301,-25.73983008522121
6854.882264526613,0.01378763822089032,-15.97648197711731,-26.26779556242801
6918.309709189363,0.006695673792576941,-15.96834011143607,-26.83984499067071
6982.324040771712,0.01447959647921273,-15.95062820557952,-27.42797079226754
7046.930689671467,0.01516035203072619,-15.93633387946492,-28.02102828960442
7112.135136533288,0.01438663908381172,-15.92125563376286,-28.58525210766769
7177.942912713615,0.004169765949354366,-15.90104775859285,-29.18290840620497
