#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,0.01370337992584343,-0.07851668838507089,-14.71145446630301
101.391138573668,0.01391800265026789,-0.07999131121681843,-14.92686043997209
102.8016298126474,0.01346118572996948,-0.08062424715372915,-15.13807006266677
104.2317429393305,0.01346174434299517,-0.08194446470069187,-15.35034837174805
105.681750921366,0.01365355355070784,-0.08321616362047182,-15.56754608351
107.1519305237607,0.01365459648342272,-0.08434036929290213,-15.78307569618829
108.6425623617067,0.01349386564620106,-0.08537813460435091,-16.00331032515344
110.1539309541416,0.01346312571210252,-0.0865288369138085,-16.22648383411121
111.6863247780562,0.01346667007987975,-0.08764723517195874,-16.45224533394661
113.2400363235558,0.01359098438912956,-0.08910609939772149,-16.68038638266882
114.8153621496884,0.01382082107284539,-0.09036387832061585,-16.91028601145251
116.4126029410492,0.01361703897422382,-0.09149671032744738,-17.14724080423408
118.0320635651731,0.01329181051340291,-0.09263088004441493,-17.38469914629486
119.6740531307244,0.0134327962526207,-0.09354161427017907,-17.62520929714083
121.3388850464979,0.01386770123026868,-0.0952021902415022,-17.87017166631179
123.0268770812382,0.01375538755909655,-0.09641904673318988,-18.11725596095636
124.7383514242945,0.01370940866258492,-0.09756785932245034,-18.36835842347666
126.4736347471152,0.01397238172719607,-0.09901087114982141,-18.62182332963353
128.2330582656023,0.01400727166564626,-0.1002808375969756,-18.87992817646351
130.0169578033291,0.01390233288447459,-0.1017589241316494,-19.14177004428038
131.8256738556409,0.01379016359006757,-0.1030539378101848,-19.40621956854355
133.6595516546443,0.01400664252403273,-0.1046405399415442,-19.6742812730538
135.5189412351038,0.01390368707594604,-0.1058831881429195,-19.94708396916451
137.4041975012516,0.01373968926144084,-0.107497097715296,-20.2233535729828
139.3156802945305,0.01378382171033925,-0.1087321218602475,-20.5034978602972
141.2537544622755,0.01378928961914831,-0.1098063532883864,-20.78610627624101
143.2187899273545,0.01395410587991324,-0.111391028621809,-21.07561996723439
145.2111617587744,0.01391070361002787,-0.1127622278174587,-21.36554498212068
147.2312502432721,0.01400214588317671,-0.1142307298704143,-21.661857710059
149.2794409578997,0.01389159403734846,-0.1158079084997811,-21.96052261127453
151.356124843621,0.01414100810022849,-0.1176037044450796,-22.26345173784597
153.4616982799296,0.01413729367517522,-0.119160938146794,-22.57163460132722
155.5965631605077,0.01397742963612948,-0.1205308650104121,-22.88550489065413
157.761126969935,0.01388725396025512,-0.1219431763168353,-23.20053758086189
159.9558028614671,0.01389446191591902,-0.1233822283569409,-23.52205361869764
162.1810097358932,0.0139450981029316,-0.1252487043497363,-23.84689559240326
164.4371723214932,0.01395548361726666,-0.1268120312924012,-24.17705155318341
166.7247212551064,0.01410802516765693,-0.1288146165504361,-24.5108359944005
169.0440931643265,0.01412602619803817,-0.1299312258683765,-24.85057469166998
171.3957307508427,0.01424799744401351,-0.1320081254904921,-25.19310549169964
173.7800828749376,0.01425519757543288,-0.1336368581067945,-25.54273573851493
176.1976046411631,0.01416742760473885,-0.1352466752195401,-25.89432684680001
178.6487574852052,0.01429880223391168,-0.1370239927912333,-26.25227661926662
181.1340092619604,0.01407436034833183,-0.1383299322241441,-26.6150131466426
183.6538343348347,0.01441826541487495,-0.1402053513896609,-26.98398666579524
186.2087136662869,0.01441928576991276,-0.1423025502395777,-27.35510792596249
188.7991349096295,0.01438975848315782,-0.1439255564522035,-27.73415368917931
191.4255925021088,0.01423598243716821,-0.14573907884661,-28.11842491835505
194.0885877592779,0.01442246663337832,-0.1474830347580948,-28.50849305622762
196.7886289706847,0.01437464995889653,-0.1492922425443215,-28.89992946938401
199.5262314968881,0.0143854591937117,-0.1510480741268528,-29.30089410807167
202.3019178678274,0.01432955944675263,-0.1530079569245175,-29.7046845315116
205.1162178825567,0.01459013291547904,-0.1550674629088939,-30.11688251863639
207.9696687103698,0.01454440301751938,-0.1569686154770706,-30.53430253852177
210.8628149933291,0.01439035117598643,-0.158736857968948,-30.95587751070192
213.7962089502235,0.01425337996316738,-0.1604899616228946,-31.38456294091007
216.7704104819696,0.0144578270103812,-0.162332911849907,-31.81833403438398
219.7859872784827,0.01449005537246021,-0.1642285635176545,-32.25828826361435
222.8435149270305,0.01452784508830822,-0.1661366493839699,-32.7065324769458
225.9435770220981,0.01454361403507243,-0.1680392737099895,-33.15925964966378
229.0867652767774,0.01486071491519743,-0.1702922806286844,-33.61899215813523
232.273679635711,0.0148144178962649,-0.1720907639297141,-34.08260371062285
235.5049283896011,0.01478815237509648,-0.17398743191385,-34.5564245068603
238.7811282913181,0.01500862220412321,-0.1762329441085045,-35.03493910458683
242.102904673618,0.01503708892922349,-0.1782261886678417,-35.52010692164623
245.4708915685034,0.01495994472029763,-0.1802584011074526,-36.01231813576174
248.8857318282393,0.01475040283071589,-0.1818316472112991,-36.51300336802062
252.3480772480578,0.01508531230240489,-0.184064528677973,-37.01769190575072
255.8585886905648,0.01508748428053377,-0.1861353486239225,-37.53199511095129
259.4179362118818,0.01513347216247216,-0.1885873642209649,-38.05181982384332
263.0267991895385,0.01547254459383861,-0.1902668104546523,-38.5790536665865
266.6858664521483,0.01535994936154867,-0.1924145893789042,-39.11441046722089
270.3958364108846,0.01539566456726142,-0.1942834756066784,-39.65933570670194
274.1574171927887,0.01543480751416276,-0.1962949972333676,-40.20932421281291
277.9713267759291,0.01517908757949744,-0.1981386710590513,-40.76806719842868
281.8382931264458,0.01542886479339404,-0.2005388951568857,-41.33429081384972
285.7590543374949,0.0154106677744192,-0.2025699325172735,-41.90906250077117
289.7343587701328,0.0156580887573617,-0.2045701265738926,-42.49121421713913
293.7649651961534,0.01577530869901338,-0.2066871431886927,-43.08179465263407
297.8516429429194,0.01591928735576265,-0.2087191934948925,-43.68283931558556
301.9951720402019,0.01580609715561063,-0.2106894638504017,-44.2886047399395
306.1963433690682,0.01597462525176827,-0.2126673944587916,-44.9059371572993
310.4559588128359,0.01622599311279348,-0.2149054328862537,-45.53170813732952
314.774831410132,0.01603641830065836,-0.2164628314604736,-46.16640051755049
319.1537855100765,0.01618237830015399,-0.2182273126228091,-46.80956648168373
323.5936569296288,0.01625535669159837,-0.2203322649933833,-47.46274061706913
328.0952931131191,0.016021811518843,-0.2219099818804754,-48.12356023199089
332.6595532940047,0.0165874725114517,-0.2239567176685986,-48.79632508378949
337.2873086588689,0.01637842196787334,-0.2256473354899166,-49.47688938120739
341.979442513709,0.01676819675066521,-0.2279487352105268,-50.16985195757239
346.7368504525317,0.01672874750126522,-0.2292954775361303,-50.86927958840779
351.5604405282983,0.01705336715533497,-0.2313523599458533,-51.58135871304384
356.4511334262443,0.01670296614867117,-0.2325658678418985,-52.3044159302767
361.4098626396135,0.0169051176076164,-0.2345740843828497,-53.03815741713406
366.4375746478333,0.01732505481148676,-0.2362066254551961,-53.78068269671151
371.5352290971728,0.01724491131670075,-0.2376457395280976,-54.53554903557921
376.7037989839089,0.01744055374406467,-0.2390743148540445,-55.302956530196
381.9442708400468,0.01750450535092937,-0.2403221354204165,-56.07899611759991
387.2576449216173,0.01779363326360995,-0.2417342481706026,-56.86742315200952
392.6449353996001,0.01790983562421172,-0.2434464609738028,-57.66771631979107
398.1071705534973,0.01746597151484964,-0.2439072901108692,-58.48097577852569
403.6453929676053,0.01811466955668007,-0.2459797183380809,-59.30542769939029
409.260659730011,0.01812142313377872,-0.2469701819927716,-60.14262756395874
414.9540426343632,0.01822221180041775,-0.2479660017808966,-60.99192693046093
420.7266283844442,0.01853796835980445,-0.2489936062341767,-61.85700185640514
426.5795188015931,0.01873336200930075,-0.2501829837461453,-62.73190030562208
432.5138310350089,0.01872069498045565,-0.2507523782587465,-63.6200879526517
438.530697774986,0.01912583654861933,-0.2518904552295458,-64.52131324110893
444.6312674691089,0.01903504816580216,-0.2521982161110124,-65.43841765588164
